content,sentiment
" When words fail, tears speak.. ",sad
"""A single moment of misunderstanding is so poisonous, that it makes us forget the hundred lovable moments spent together within a minute .""",sad
"""“If you judge people, you have no time to love them.” - Mother Teresa""",happy
"""Another year over, and we are still together. Its not always easy, but i'll be there forever. (:""",happy
"""Girls want a guy who say "" i love you "" every night and proves it every day .""",happy
"""How Strange!! ""Lies don't end relationships, usually the truth does..!"" RT""",sad
"""Life is not about who hurt you and broke you down. It's about who was always there and who made you smile again """,happy
"""Many Books ARe Available On""""How To Love Someone..!"""" But, A Single Book Is Not Available On""""How To Forget The Truely Loveable One...!!""",sad
"""PERFECT MATURITY"" is when a person hurts you, and you try to understand their siuation and don't hurt them back.",sad
"""PERFECT MATURITY"" is when a person hurts you, and you try to understand their siuation and don't hurt them back.",sad
"""Real men don't date the most beautiful girl in the world, they date the girl who makes their world the most beautiful.""",happy
"""Sometimes we don't know if some1 really have feelings for us, Or if it's all just a game""",happy
"""There are Billions of people in this World But Sometimes you really need just One.""",happy
(-_-) x 1.3 Billion people = China,happy
